FileName,Source,URL
ABB-hopes-for-US-concessions-on-tariffs-on-Chinese-special-steel,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-trade-china-abb/abb-hopes-for-u-s-concessions-on-tariffs-on-chinese-special-steel-idUSKCN1HD1QU
ABCD-quartet-of-grain-traders-partner-to-digitize-global-trades,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-global-grains-traders/abcd-quartet-of-grain-traders-partner-to-digitize-global-trades-idUSKCN1MZ2E8
Abu-Dhabi-oil-firm-ADNOC-catches-regional-listing-bug,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-emirates-oil-adnoc/abu-dhabi-oil-firm-adnoc-catches-regional-listing-bug-idUSKBN19V0AE
Acacia-Mining-cuts-full-year-production-forecast,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-acacia-mining-output/acacia-mining-cuts-full-year-production-forecast-idUSKCN0S00S120151006
Acacia-Mining-hits-back-at-parent-Barrick-in-Tanzania-row,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-acacia-barrick-tanzania/acacia-mining-hits-back-at-parent-barrick-in-tanzania-row-idUSKCN1SF213
Activist-investor-Icahn-raises-stake-in-oil-producer-Energen,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-energen-icahn/activist-investor-icahn-raises-stake-in-oil-producer-energen-idUSKBN1JM15I
After-chaotic-day-Rosenstein-stays-in-job-but-will-meet-with-Trump,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-trump-rosenstein/after-chaotic-day-rosenstein-stays-in-job-but-will-meet-with-trump-idUSKCN1M41RY
After-delay-US-Senate-approves-nominee-to-be-ambassador-to-Mexico,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-mexico-diplomacy/after-delay-u-s-senate-approves-nominee-to-be-ambassador-to-mexico-idUSKCN0SZ20C20151110
After-seven-months-Senate-approves-Obama-USAid-nominee,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-aid-obama/after-seven-months-senate-approves-obama-usaid-nominee-idUSKBN0TJ2XM20151130
As-oil-prices-tank-new-era-of-abundance-seen-dawning,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-oil-markets-inflection/as-oil-prices-tank-new-era-of-abundance-seen-dawning-idUSKCN0HW0T520141007
Baker-Hughes-Halliburton-shareholders-approve-merger,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-baker-hughe-halliburton-shareholders/baker-hughes-halliburton-shareholders-approve-merger-idUSKBN0MN27B20150327
Bakken-oil-drillers-retreat-to-the-core-Kemp,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-crude-bakken-kemp/bakken-oil-drillers-retreat-to-the-core-kemp-idUSKBN0LU10020150226
Bangladesh-to-speed-up-rice-imports-in-wake-of-flooding,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-bangladesh-rice-imports/bangladesh-to-speed-up-rice-imports-in-wake-of-flooding-idUSKBN18L0SY
Bank-of-Japan-minutes-show-concerns-over-weak-prices,investing,https://www.investing.com/news/economic-indicators/bank-of-japan-minutes-show-concerns-over-weak-prices-365778
Bank-of-Japans-Kuroda-says-bond-market-fine-for-now-2-target-intact,investing,"https://www.investing.com/news/economic-indicators/bank-of-japan's-kuroda-says-bond-market-fine-for-now,-2-target-intact-328843"
Beijing-orders-utilities-miners-to-help-cool-red-hot-coal-market-sources,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-china-coal-prices/beijing-orders-utilities-miners-to-help-cool-red-hot-coal-market-sources-idUSKCN1IN14J
Belarus-lifts-limits-on-exports-of-oil-products-Belta-agency,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-russia-oil-belarus-exports/belarus-lifts-limits-on-exports-of-oil-products-belta-agency-idUSKCN1SR23S
Belgian-reactor-closures-to-hit-Engie-2018-profit,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-engie-belgium-nuclear/belgian-reactor-closures-to-hit-engie-2018-profit-idUSKBN1JE0LD
Berkshire-Hathaway-buys-351-million-shares-of-Phillips-66,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-berkshire-hatha-phillips-66/berkshire-hathaway-buys-3-51-million-shares-of-phillips-66-idUSKCN0RA04820150910
BHP-Billiton-expects-to-thrive-in-a-lower-carbon-emissions-world,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-bhp-billiton-climatechange/bhp-billiton-expects-to-thrive-in-a-lower-carbon-emissions-world-idUSKCN12A16X
BHP-Escondida-mine-workers-in-Chile-start-new-wage-talks,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-chile-copper-escondida/bhp-escondida-mine-workers-in-chile-start-new-wage-talks-idUSKCN1IX57R
Big-banks-talking-to-Rio-Tintos-specialist-new-Ventures-arm,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-rio-tinto-ventures/big-banks-talking-to-rio-tintos-specialist-new-ventures-arm-idUSKBN16S206
Bill-shows-chink-in-US-Republicans-climate-armor,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-tax-carbon/bill-shows-chink-in-u-s-republicans-climate-armor-idUSKBN1K92SW
BlackRock-fund-took-profits-in-US-energy-stocks,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-funds-blackrock-global/blackrock-fund-took-profits-in-u-s-energy-stocks-idUSKCN1061SC
Bloomberg-donates-$25-million-to-US-Senate-Democrats,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-usa-politics-bloomberg/bloomberg-donates-2-5-million-to-u-s-senate-democrats-idUSBREA0611320140107
BlueScope-hands-cash-back-as-earnings-soar,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-bluescope-stl-results/bluescope-hands-cash-back-as-earnings-soar-idUSKBN15Y0WG
BoJ-Governor-Kuroda-says-economy-has-picked-up-eyes-crude-prices,investing,"https://www.investing.com/news/economic-indicators/boj-governor-kuroda-says-economy-has-picked-up,-eyes-crude-prices-329968"
Bolivia-nearing-deal-on-partner-to-develop-lithium-minister,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-bolivia-lithium/bolivia-nearing-deal-on-partner-to-develop-lithium-minister-idUSKBN1HQ392
BP-eyes-more-spending-cuts-after-80-percent-profit-drop,reuters,https://www.reuters.com/news/archive/GCA-Commodities/article/us-bp-results/bp-eyes-more-spending-cuts-after-80-percent-profit-drop-idUSKCN0XN0HW
